page,country,rev_id,prediction
List of politicians in Poland,Poland,516633096,RevisionNotFound
Tingtingru,Vanuatu,550682925,RevisionNotFound
Daud Arsala,Afghanistan,627547024,RevisionNotFound
Book:Two Political Biographies,India,636911471,RevisionNotFound
Dilaver Bey,Turkey,669987106,RevisionNotFound
Bharat Saud,Nepal,671484594,RevisionNotFound
Book:Australian Prime Ministers,Australia,680981536,RevisionNotFound
Robert Sych,Poland,684023803,RevisionNotFound
Marek Krzysztof Jeleniewski,Poland,684023859,RevisionNotFound
Khanzahi,Iran,696608092,RevisionNotFound
Narayani Datt Chataut,Nepal,698572327,RevisionNotFound
Mohammad Amjad,Pakistan,699260156,TextDeleted
Gomez das Mariñas,Spain,703773782,RevisionNotFound
Valerio De Los Benidos,Cuba,706204833,RevisionNotFound
Kamlesh Arya,Fiji,706810694,RevisionNotFound
Book:Indian Politicians,India,708482569,RevisionNotFound
Pierre-Luc Paquette,Canada,708813010,RevisionNotFound
Khaled Aghbariyya,Israel,709508670,RevisionNotFound
José Santos Marques,Portugal,710135228,RevisionNotFound
Vladimir Shamakhov,Russia,710311600,RevisionNotFound
Hazrat-U-Din,Afghanistan,710715953,RevisionNotFound
Floydelia Diasen,Philippines,711224007,RevisionNotFound
Panu Laturi,Finland,711288191,RevisionNotFound
Michel Ximenes,France,711513274,RevisionNotFound
I Gede Sumantara Ady Pratama,Indonesia,712411818,RevisionNotFound
Łukasz Kowalski,Poland,712872338,RevisionNotFound
Blanka Olszewska,Poland,712872421,RevisionNotFound
Janusz Jerzy Drozdalski,Poland,712872473,RevisionNotFound
Piotr Michał Trzaska,Poland,712872531,RevisionNotFound
Anna Teresa Piórkowska,Poland,712873183,RevisionNotFound
Edward Ignacy Hartwich,Poland,712873308,RevisionNotFound
Lech Andrzej Zagłoba-Zygler,Poland,712873386,RevisionNotFound
Elżbieta Teresa Rusielewicz,Poland,712878000,RevisionNotFound
Adam Wojciech Fórmaniak,Poland,712878267,RevisionNotFound
Zbigniew Józef Sobociński,Poland,712878343,RevisionNotFound
Bernadeta Aldona Różańska-Majchrzak,Poland,712878396,RevisionNotFound
Jarosław Wenderlich,Poland,712881543,RevisionNotFound
Ewa Joanna Starosta,Poland,712881676,RevisionNotFound
Stanisław Grodzicki (politician),Poland,712881741,RevisionNotFound
Tadeusz Mirosław Kondrusiewicz,Poland,712881882,RevisionNotFound
Wojciech Hieronim Nowacki,Poland,712889562,RevisionNotFound
Jacek Rosół,Poland,712889594,RevisionNotFound
Tomasz Jan Rega,Poland,712889683,RevisionNotFound
Marek Henryk Gralik,Poland,712889781,RevisionNotFound
Michał Piotr Sztybel,Poland,712889809,RevisionNotFound
Jacek Andrzej Bukowski,Poland,712891291,RevisionNotFound
Kazimierz Drozd,Poland,712891354,RevisionNotFound
Lech Stanisław Lewandowski,Poland,712891378,RevisionNotFound
Felicja Gwincińska,Poland,712891476,RevisionNotFound
Shah Seyyed Ali Kazemi,Iran,713368646,RevisionNotFound
Diabete Aboubacar Siriki,Ivorian,713381693,RevisionNotFound
Fawzi al-Ghazzi,Syria,714352602,TextDeleted
Armin Halitović,Bosnia-Herzegovina,715273866,RevisionNotFound
James H. Stuart,Canada,715457941,RevisionNotFound
Gissur Petersson,Iceland,715534283,RevisionNotFound
Amirsho Miraliyev,Tajikistan,715978328,RevisionNotFound
Nicole Gauthier,France,717536136,RevisionNotFound
Henri François Xavier Gresley,France,717891895,TextDeleted
Patrick van Ypersele de Strihou,Belgium,717917231,RevisionNotFound
Bakhtiar Mahmud Kasuri,Pakistan,717927381,RevisionNotFound
Veaceslav Stăvilă,Moldova,718090116,RevisionNotFound
Edison Rey Batiquin,Philippines,719342595,RevisionNotFound
Friedrich Peus,Germany,719521006,RevisionNotFound
Talib Garingan Pawaki,Philippines,719581803,RevisionNotFound
Guglielmo Rapinett,Malta,719981739,RevisionNotFound
Christian Raster,Germany,720054719,RevisionNotFound
Jamal Awadh Nasser,Yemen,720154872,RevisionNotFound
Wells–Bennett–Grant family,United States,720164068,RevisionNotFound
Kimball–Snow–Woolley family,United States,720356159,RevisionNotFound
Malak Zmarak Khan Mandokhail,Pakistan,720688837,RevisionNotFound
Francis Phips,United Kingdom,720856841,RevisionNotFound
Constantino Salinas,Spain,720924221,RevisionNotFound
Gu Jinchi,China,720953589,RevisionNotFound
Kasra Nikzad,Iran,720959757,RevisionNotFound
Emil Ragazzini,Croatia,720993927,RevisionNotFound
Shabbir Ahmad Rao,Pakistan,721106120,RevisionNotFound
Max Adolf Richter,Germany,721509220,RevisionNotFound
Lourdes Aranda,Mexico,721856824,RevisionNotFound
Bybit Lydia Tsomondo,Zimbabwe,723082034,RevisionNotFound
René Matteau,Canada,723308478,RevisionNotFound
